"","File","Query","SolutionStr","MySolutionStr","SolutionLine","MySolutionLine","Loss"
"1","1.txt","if (e.getMessage() == null) {","if (e.getMessage().equals(null)) {","if (e.getMessage().equals(null)) {",609,609,0
"2","10.txt","} else if (r instanceof CompositeReader) { // only wrap if not already atomic (some tests may fail)","} else {","// enable this by default, for IDE consistency with ant tests (as its the default from ant)",1370,282,1
"3","100.txt","cds = null;","cds = td.getConglomerateDescriptors();","td = null;",714,671,1
"4","1000.txt","table.snapshot(System.currentTimeMillis() + ""-"" + ""compact-"" + cfs.columnFamily);","table.snapshot(""compact-"" + cfs.columnFamily);","table.snapshot(""compact-"" + cfs.columnFamily);",526,526,0
"5","1001.txt","public static final String MSG = "" Processing Document # "";","public static final String MSG = "" Processing Documemt # "";","public static final String MSG = "" Processing Documemt # "";",62,62,0
"6","1002.txt","Derby - Class org.apache.derby.iapi.util.JBitSet","Derby - Class com.ihost.cs.JBitSet","Derby - Class com.ihost.cs.JBitSet",3,3,0
"7","1003.txt","Derby - Class org.apache.derby.iapi.util.DoubleProperties","Derby - Class com.ihost.cs.DoubleProperties","Derby - Class com.ihost.cs.DoubleProperties",3,3,0
"8","1004.txt","Derby - Class org.apache.derby.iapi.util.Operator","Derby - Class com.ihost.cs.Operator","Derby - Class com.ihost.cs.Operator",3,3,0
"9","1005.txt","Derby - Class org.apache.derby.iapi.util.ReuseFactory","Derby - Class com.ihost.cs.ReuseFactory","Derby - Class com.ihost.cs.ReuseFactory",3,3,0
"10","1006.txt","Derby - Class org.apache.derby.iapi.util.Matchable","Derby - Class com.ihost.cs.Matchable","Derby - Class com.ihost.cs.Matchable",3,3,0
"11","1007.txt","sb.insert(0, 0);","sb.insert(0, ' ');","sb.insert(0, ' ');",112,112,0
"12","1008.txt","CoreDescriptor dcore = new CoreDescriptor(cores, """", ""."");","CoreDescriptor dcore = new CoreDescriptor(cores, """", cfg.getResourceLoader().getInstanceDir());","CoreDescriptor dcore = new CoreDescriptor(cores, """", cfg.getResourceLoader().getInstanceDir());",118,118,0
"13","1009.txt","assertEquals(10, cf.getColumnCount());","assert cf.getColumnCount() == 10;","assert cf.getColumnCount() == 10;",226,138,1
"14","101.txt","public synchronized List getStatistics() throws StandardException","private synchronized List getStatistics() throws StandardException","private synchronized List getStatistics() throws StandardException",1283,1283,0
"15","1010.txt","protected void setUp() {","protected void setUp() throws Exception {","protected void setUp() throws Exception {",42,42,0
"16","1011.txt","protected void setUp() {","protected void setUp() throws Exception {","protected void setUp() throws Exception {",52,52,0
"17","1012.txt","protected void setUp() {","protected void setUp() throws Exception {","protected void setUp() throws Exception {",33,33,0
"18","1013.txt","protected void setUp() {","protected void setUp() throws Exception {","protected void setUp() throws Exception {",23,23,0
"19","1014.txt","public static void main(String[] args) throws IOException {","public static void main(String[] args) throws Exception {","public static void main(String[] args) throws Exception {",30,30,0
"20","1015.txt","public static void main(String[] args) throws IOException {","public static void main(String[] args) throws Exception {","public static void main(String[] args) throws Exception {",32,32,0
"21","1016.txt","public static void main(String[] args) throws IOException {","public static void main(String[] args) throws Exception {","public static void main(String[] args) throws Exception {",33,33,0
"22","1017.txt","public static void main(String[] args) throws IOException {","public static void main(String[] args) throws Exception {","public static void main(String[] args) throws Exception {",32,32,0
"23","1018.txt","public static void main(String[] args) throws IOException {","public static void main(String[] args) throws Exception {","public static void main(String[] args) throws Exception {",33,33,0
"24","1019.txt","public static void main(String[] args) throws IOException {","public static void main(String[] args) throws Exception {","public static void main(String[] args) throws Exception {",30,30,0
"25","102.txt","final int numInterrupts = atLeast(300);","final int numInterrupts = atLeast(3000);","final int numInterrupts = atLeast(3000);",1141,1141,0
"26","1020.txt","public static void main(String[] args) throws IOException {","public static void main(String[] args) throws Exception {","public static void main(String[] args) throws Exception {",32,32,0
"27","1021.txt","public static void main(String[] args) throws IOException {","public static void main(String[] args) throws Exception {","public static void main(String[] args) throws Exception {",34,34,0
"28","1022.txt","EstimatedHistogram.serializer.serialize(columnnCounts, out);","EstimatedHistogram.serializer.serialize(rowSizes, out);","EstimatedHistogram.serializer.serialize(rowSizes, out);",198,197,0.761594155955765
