"","File","Query","SolutionStr","MySolutionStr"
"1","100.txt","setVisible(true);","show();","selectAllFlag = true;"
"2","10005.txt","Util.log(e, ""JavaBuilder logging CompilationParticipant's CoreException to help debugging""); //$NON-NLS-1$","e.printStackTrace();","Util.log(e, ""JavaBuilder handling CoreException""); //$NON-NLS-1$"
"3","10007.txt","if (this.checkAnnotation && this.scanner.source != null) {","if (this.checkAnnotation) {","if (this.checkAnnotation) {"
"4","10010.txt","className= CharOperation.replaceOnCopy(className, '/', '.');","CharOperation.replace(className, '/', '.');","CharOperation.replace(classTypeName, '/', '.');"
"5","10026.txt","IViewReference viewRef = getViewFactory().getView(viewID, secondaryId);","IViewReference viewRef = getViewReference(viewID, secondaryId);","IViewReference viewRef = viewFactory.getView(id, secondaryId);"
"6","10028.txt","return new Status(IStatus.ERROR, JavaCore.PLUGIN_ID, -1, Util.bind(""convention.classFile.notClassFileName""), null); //$NON-NLS-1$","return new Status(IStatus.ERROR, JavaCore.PLUGIN_ID, -1, Util.bind(""convention.classFile.notJavaName""), null); //$NON-NLS-1$","return new Status(IStatus.ERROR, JavaCore.PLUGIN_ID, -1, Util.bind(""convention.classFile.nullName""), null); //$NON-NLS-1$"
"7","1004.txt","if (this.indexSelector == null) { // only check once. As long as this job is used, it will keep the same index picture","if (this.indexSelector == null) { // only check once, i.e. as long as this job is used, it will keep the same index picture","if (this.indexSelector == null) {"
"8","10045.txt","if(debugBuffer != null && key != null)","if(evt != null)","if(debugBuffer != null)"
"9","10061.txt","public int literalIndexForMethod(char[] selector, char[] signature) {","private int literalIndexForMethod(char[] selector, char[] signature) {","public int literalIndex(char[] stringCharArray, byte[] utf8encoding) {"
"10","10065.txt","setActiveFastView(ref);","showFastView(ref);","setActiveFastView(null);"
"11","10069.txt","if (root.getKind() == IPackageFragmentRoot.K_BINARY) {","if (root.isArchive()) {","if (parent instanceof IPackageFragmentRoot) {"
"12","10085.txt","public String getDefaultChild() {","public Class getDefaultChild() {","public String getName() {"
"13","10094.txt","palette.add(createToolButton(IMAGES + ""OCONN"", ""Split Connection Tool"", tool));","palette.add(createToolButton(IMAGES + ""OCONN"", ""Elbow Connection Tool"", tool));","palette.add(createToolButton(IMAGES + ""OCONN"", ""Elbow Connection Tool"", tool));"
"14","10097.txt","//;",";","// mail doesn't exist on server"
"15","1010.txt","if (!valueType.leafComponentType().isAnnotationType()) { // check annotation type and also reject null literal","if (!valueType.leafComponentType().isAnnotationType()) { // null literal","if (leafType.isAnnotationType() && !valueType.isAnnotationType()) {"
"16","10111.txt","folder.setBackground(colors[1]);","folder.setBackground(colors, new int [] {100}, false);","viewForm.setBackground(colors[1]);"
"17","10122.txt","List getActivityRequirementBindingDefinitions();","List getActivityActivityBindingDefinitions();","List getActivityPatternBindingDefinitions();"
"18","10138.txt","Action.SMALL_ICON, new ImageIcon(ChainsawIcons.SCROLL_TO_BOTTOM));","Action.SMALL_ICON, new ImageIcon(ChainsawIcons.DOWN));","Action.SMALL_ICON, new ImageIcon(ChainsawIcons.UP));"
"19","10151.txt","((InternalSearchPattern)this).mustResolve = true;","this.mustResolve = true;","this.enclosingElement = enclosingElement;"
"20","1017.txt","expression.traverse(this, (BlockScope) null);","expression.traverse(this, null);","expression.traverse(this, scope);"
"21","10172.txt","list.update(currentSelection, null);","list.update(lastSelection, null);","list.update(lastSelection, null);"
"22","10181.txt","public static final String ATT_PARENT_CATEGORY = ""parent""; //$NON-NLS-1$","public static final String ATT_PARENT_CATEGORY = ""parent""; //$NON-NLS-N$","public static final String ATT_ICON = ""icon""; //$NON-NLS-1$"
"23","10184.txt","s+= "">"";//$NON-NLS-1$","s+= "">"";","s += ""<SelectionOnLocalName:""; //$NON-NLS-1$"
"24","10185.txt","rewriteModifiers2(node, PackageDeclaration.ANNOTATIONS_PROPERTY, pos);","rewriteNodeList(node, PackageDeclaration.ANNOTATIONS_PROPERTY, pos, """", "" ""); //$NON-NLS-1$ //$NON-NLS-2$","rewriteModifiers2(node, TypeDeclaration.MODIFIERS2_PROPERTY, pos);"
"25","10192.txt","public short","public int","public"
"26","10193.txt","TargetManager.getInstance().setTarget(p.getInitialTarget());","setTarget(p.getInitialTarget());","TargetManager.getInstance().setTarget(o);"
"27","10207.txt","String tabName = tabSpec;  //TODO: arguments","String tabName = tabSpec;  //needs-more-work: arguments","String className = tabClass.getName();"
"28","10220.txt","bufferSize = bufferSize * 2;","bufferSize += Constants.DEFAULT_BUFFER_SIZE;","bufferSize += len;"
"29","10232.txt","setVisible(true);","show();","setText(label);"
"30","10244.txt","if (this.compileLoop > 1) { // only optimize files which were recompiled during the dependent pass, see 33990","if (this.compileLoop > 1) { // only optimize files which were recompiled during the dependent pass","if (secondaryTypesToRemove != null) { // delayed deleting secondary types until the end of the compile loop"
"31","10258.txt","} else if (checkType == (CAN_ONLY_NULL_NON_NULL | IN_COMPARISON_NULL)) {","} else {","if (checkType == (CAN_ONLY_NULL_NON_NULL | IN_COMPARISON_NON_NULL)) {"
"32","10278.txt","Object info = fgJavaModelManager.peekAtInfo(this);","Object info = fgJavaModelManager.getInfo(this);","Object info = fgJavaModelManager.getInfo(this);"
"33","10281.txt","System.out.println(""PROBLEM FOUND while reconciling : ""+problem.getMessage());//$NON-NLS-1$","System.out.println(""PROBLEM FOUND while reconciling : ""+problem.getMessage());","new CompilationResult(sourceTypes[0].getFileName(), 1, 1);"
