"","File","Query","SolutionStr","MySolutionStr"
"1","10.txt","} else if (r instanceof CompositeReader) { // only wrap if not already atomic (some tests may fail)","} else {","// enable this by default, for IDE consistency with ant tests (as its the default from ant)"
"2","100.txt","cds = null;","cds = td.getConglomerateDescriptors();","td = null;"
"3","1009.txt","assertEquals(10, cf.getColumnCount());","assert cf.getColumnCount() == 10;","assert cf.getColumnCount() == 10;"
"4","1022.txt","EstimatedHistogram.serializer.serialize(columnnCounts, out);","EstimatedHistogram.serializer.serialize(rowSizes, out);","EstimatedHistogram.serializer.serialize(rowSizes, out);"
"5","1023.txt","public synchronized int getMaxPermits() {","public int getMaxPermits() {","public synchronized void setMaxPermits(int newMax) {"
"6","1028.txt","0, 0);","0, 0, false);","0,"
"7","1039.txt","throws IOException, StandardException {","throws IOException, SQLException, StandardException {","throws IOException, SQLException {"
"8","1043.txt","cs.setString(2, ""TESTLONGVARCHAR"");","cs.setString(2, ""testLongVarChar"");","cs.setString(1, ""APP"");"
"9","1044.txt","return ""http://"" + hostAndPort + (path.isEmpty() ? """" : (""/"" + path));","return ""http://"" + hostAndPort + ""/"" + path;","return;"
"10","1048.txt","return sqlStateSQL99;","return JDBC30Translation.SQL_STATE_SQL99;","return false;"
"11","105.txt","assertTrue(result + "" is not equal to "" + ""d"", result.getLabel().equals(""d""));","assertTrue(result + "" is not equal to "" + ""unknown"", result.getLabel().equals(""unknown""));","assertTrue(result + "" is not equal to "" + ""e"", result.getLabel().equals(""e""));"
"12","1053.txt","if (jvmflags != null && jvmflags.length() > 0)","if (jvmflags != null)","if ((jvmflags != null) && (jvmflags.length() > 0))"
"13","1062.txt","assert !isBootstrapMode; // bootstrap will block until finished","assert !isBootstrapMode; // bootstrap will block until finishec","assert token != null; // should not be called before initServer sets this"
"14","107.txt","if (dto.numTerms() == 0) {","if (te == null) {","if (s.length() > 0) {"
"15","1071.txt","File dirFile = _TestUtil.getTempDir(""deletetest"");","File dirFile = new File(TEMP_DIR, ""deletetest"");","File dirFile = _TestUtil.getTempDir(""TestIndexReader.testFilesOpenClose"");"
"16","108.txt","return IndexFileNames.fileNameFromGeneration(name, IndexFileNames.SEPARATE_NORMS_EXTENSION + number, normGen.get(number));","return IndexFileNames.fileNameFromGeneration(name, ""s"" + number, normGen.get(number));","return IndexFileNames.fileNameFromGeneration(name, IndexFileNames.DELETES_EXTENSION, delGen);"
"17","1084.txt","if (fi.normsPresent()) {","if (fi.isIndexed && !fi.omitNorms) {","if (fi.storeTermVector) {"
"18","1087.txt","System.out.println(""zkcli.sh -zkhost localhost:9983 -cmd "" + MAKEPATH + "" /apache/solr"");","System.out.println(""zkcli.sh -zkhost localhost:9983 -cmd "" + MAKEPATH + "" /apache/solr/data.txt 'config data'"");","System.out.println(""zkcli.sh -zkhost localhost:9983 -cmd "" + CLEAR + "" /solr"");"
"19","1107.txt","new Integer(len));","new Integer(length));","new Integer(length));"
"20","1114.txt","assertQ(req(""id:42 AND subword:\""IBM'sx\"""")","assertQ(req(""id:42 AND subword:IBM'sx"")","assertQ(req(""id:42 AND subword:\""I B M\"""")"
"21","1117.txt","logMsg(LINE);","istream.println(LINE);","logMsg(osInfo);"
"22","1118.txt","valueString = new String(readBytes, ""US-ASCII"");","valueString = new String(readBytes);","valueString = new String(readBytes);"
"23","1237.txt","queryFactory.addBuilder(""UserQuery"",new UserInputQueryBuilder(parser));","queryFactory.addBuilder(""UserQuery"",new UserInputQueryBuilder(new QueryParser(""contents"", analyzer)));","queryFactory.addBuilder(""TermQuery"",new TermQueryBuilder());"
"24","1238.txt","throw new UnavailableException();","throw new InvalidRequestException(""This node cannot accept reads until it has bootstrapped"");","throw new RuntimeException(e);"
"25","1239.txt","public void forceFlush()","void forceFlush() throws IOException","public void run()"
"26","1256.txt","int port = DatabaseDescriptor.getThriftPort();","int port = 9160;","return DatabaseDescriptor.getTables();"
"27","1258.txt","for (int i = 0; i < length; i++) { // Loop to length-1, not length-2, not for diffs but average item pref","for (int i = 0; i < length - 1; i++) {","for (int i = 0; i < length; i++) {"
"28","1263.txt","String REPLICATION_NOT_IN_MASTER_MODE                          = ""XRE07"";","String REPLICATION_UNABLE_TO_STOP_MASTER                       = ""XRE07"";","String REPLICATION_NOT_IN_SLAVE_MODE                           = ""XRE40"";"
"29","1273.txt","logger.info(""Listening for thrift clients..."");","logger.info(""Cassandra starting up..."");","logger.info(""Cassandra shutting down..."");"
"30","1295.txt","if (resultColumn.isGenerated())","if (resultColumn.isGenerated() || resultColumn.isGeneratedForUnmatchedColumnInInsert())","if ((! resultColumn.isReferenced()) &&"
"31","130.txt","fs.delete(outpath, true);","FileUtil.fullyDelete(fs, outpath);","sorter.merge(outfiles, output);"
"32","1301.txt","+info+"". Triggers got fired in this order:""+TRIGGER_INFO.get().toString(), orderOk);","+info, orderOk);","int fireCount = assertFiringOrder(""INSERT"", 1);"
"33","1302.txt","if (userIDs.length > 3) {","if (result.length() > 3) {","if (userIDs == null) {"
"34","1309.txt","((TieredMergePolicy) w.getConfig().getMergePolicy()).setForceMergeDeletesPctAllowed(10.0);","tmp.setForceMergeDeletesPctAllowed(10.0);","TieredMergePolicy tmp = newTieredMergePolicy();"
"35","131.txt","return buffer[pos++];","return (byte) (buffer[pos++] & 0xff);","return buffer[pos++] != 0;"
"36","1310.txt","((LogMergePolicy) writer.getConfig().getMergePolicy()).setUseCompoundFile(false);","mergePolicy.setUseCompoundFile(false);","LogMergePolicy mergePolicy = newLogMergePolicy(true, 10);"
"37","1313.txt","return ""abs"";","return ""log"";","return ""sqrt"";"
"38","1318.txt","return reader.read(ob, dec);","return new SpecificDatumReader<T>(writer).read(ob, dec);","writer.write(o, enc);"
"39","132.txt","byte val = reader.readByte();","int val = reader.readByte();","byte b = reader.readByte();"
"40","1328.txt","if (mergedSegmentWarmer != null) {","if (poolReaders && mergedSegmentWarmer != null) {","if (merge.readers[i] != null) {"
"41","133.txt","if (builder.length() > 0 && builder.length() < maxLength) {","if (builder.length() > 0) {","if (builder.length() + value.length() > maxLength) {"
"42","1336.txt","public Column(byte[] name, byte[] value)","Column(byte[] name, byte[] value)","public Column(byte[] name, byte[] value, long timestamp)"
"43","1337.txt","{""XSLA4"",""Error encountered when attempting to write the transaction recovery log. Most likely the disk holding the recovery log is full. If the disk is full, the only way to proceed is to free up space on the disk by either expanding it or deleting files not related to Derby. It is also possible that the file system and/or disk where the Derby transaction log resides is read-only. The error can also be encountered if the disk or file system has failed."",""45000""},","{""XSLA4"",""Cannot write to the log, most likely the log is full.  Please delete unnecessary files.  It is also possible that the file system is read only, or the disk has failed, or some other problems with the media.  "",""45000""},","{""08004"",""Connection authentication failure occurred. Either the supplied credentials were invalid, or the database uses a password encryption scheme not compatible with the strong password substitution security mechanism. If this error started after upgrade, refer to the release note for DERBY-4483 for options."",""40000""},"
"44","1341.txt","public Integer concurrent_compactors = Runtime.getRuntime().availableProcessors();","public Boolean compaction_multithreading = true;","public Integer concurrent_replicates = 32;"
"45","1369.txt","Thread.sleep( 2000 ); // wait 2 seconds...","Thread.sleep( 2000 ); // wait 1/2 seconds...","Thread.sleep( 500 ); // wait 1/2 seconds..."
"46","1409.txt","assertEquals(""count"", 4, count);","assertEquals(""count"", 3, count);","assertEquals(""count"", 5, count);"
