"","File","Query","SolutionStr","MySolutionStr","SolutionLine","MySolutionLine","Loss"
"1","1.txt","te.setFrom(u.getName(), u.getEmail());","te.setFrom(u.getFirstName() + u.getLastName(), u.getEmail());","te.setFrom(u.getFirstName() + u.getLastName(), u.getEmail());",84,84,0
"2","10.txt","void addAction(String commandId, IHandler action);","void addAction(String commandId, IAction action);","void addAction(String commandId, IAction action);",37,37,0
"3","100.txt","setVisible(true);","show();","selectAllFlag = true;",106,159,1
"4","1000.txt","codeStream.recordPositionsFrom(pc, this.sourceStart);","codeStream.recordPositionsFrom(pc, this);","codeStream.recordPositionsFrom(pc, this);",42,42,0
"5","10000.txt","scope.problemReporter().typeMismatchError(expressionType, methodType, this.expression, null);","scope.problemReporter().typeMismatchError(expressionType, methodType, this.expression);","scope.problemReporter().typeMismatchError(expressionType, methodType, this.expression);",253,253,0
"6","10001.txt","item.setBoolean(""property"", ""enable_lucene"", bool); //$NON-NLS-1$ //$NON-NLS-2$","item.set(""property"", ""enable_lucene"", bool); //$NON-NLS-1$ //$NON-NLS-2$","item.set(""property"", ""enable_lucene"", bool); //$NON-NLS-1$ //$NON-NLS-2$",506,506,0
"7","10002.txt","IIndex index = manager.getIndex(this.indexedContainer, true /*reuse index file*/, true /*create if none*/);","IIndex index = manager.getIndex(this.indexedContainer);","IIndex index = manager.getIndex(this.indexedContainer);",42,42,0
"8","10003.txt","Icon icon = ResourceLoader.lookupIconResource(name);","Icon icon = Util.loadIconResource(name);","Icon icon = Util.loadIconResource(name);",60,60,0
"9","10004.txt","RequestDispatcher rd = context.getFacade().getRequestDispatcher(requestURI);","RequestDispatcher rd = context.getRequestDispatcher(requestURI);","RequestDispatcher rd = context.getRequestDispatcher(requestURI);",180,180,0
"10","10005.txt","Util.log(e, ""JavaBuilder logging CompilationParticipant's CoreException to help debugging""); //$NON-NLS-1$","e.printStackTrace();","Util.log(e, ""JavaBuilder handling CoreException""); //$NON-NLS-1$",612,188,1
"11","10006.txt","public int kind() {","public int bindingType() {","public int bindingType() {",44,44,0
"12","10007.txt","if (this.checkAnnotation && this.scanner.source != null) {","if (this.checkAnnotation) {","if (this.checkAnnotation) {",78,57,1
"13","10008.txt","new StringBuffer(Util.bind(""accept.cannot"")) //$NON-NLS-1$","new StringBuffer(Util.bind(""accept.cannot""/*nonNLS*/))","new StringBuffer(Util.bind(""accept.cannot""/*nonNLS*/))",77,77,0
"14","10009.txt","System.out.println(""CLOSING Element (""+ Thread.currentThread()+""): "" + this.getHandleIdentifier());  //$NON-NLS-1$//$NON-NLS-2$","System.out.println(""CLOSING Element (""+ Thread.currentThread()+""): "" + this.getHandleIdentifier());","System.out.println(""CLOSING Element (""+ Thread.currentThread()+""): "" + this.getHandleIdentifier());",109,109,0
"15","1001.txt","//setNamespace(x);","setNamespace(x);","setNamespace(x);",62,62,0
"16","10010.txt","className= CharOperation.replaceOnCopy(className, '/', '.');","CharOperation.replace(className, '/', '.');","CharOperation.replace(classTypeName, '/', '.');",703,1709,1
"17","10011.txt","public static final int MAX_AT_ONCE = 400;","public static final int MAX_AT_ONCE = 500;","public static final int MAX_AT_ONCE = 500;",52,52,0
"18","10012.txt","public static final String TOMCAT_VERSION = ""3.3.1 Dev"";","public static final String TOMCAT_VERSION = ""3.3.1 Beta 1"";","public static final String TOMCAT_VERSION = ""3.3.1 Beta 1"";",151,151,0
"19","10013.txt","url = Loader.getResource(resource, Category.class);","url = Loader.getResource(resource, Object.class);","url = Loader.getResource(resource, Object.class);",138,138,0
"20","10014.txt","resolveAnnotations(this.annotations,  this.staticInitializerScope);","resolveAnnotations(this.annotations, scope);","resolveAnnotations(this.annotations, scope);",927,927,0
"21","10015.txt","message.getHeader().getAttributes(), message.getHeader().getFlags());","message.getHeader().getAttributes(), message.getFlags());","message.getHeader().getAttributes(), message.getFlags());",83,83,0
"22","10016.txt","checkMemberValues(this.memberValuePairs == null ? NoValuePairs : this.memberValuePairs, scope);","checkMemberValues(this.memberValuePairs, scope);","checkMemberValues(this.memberValuePairs, scope);",49,49,0
"23","10017.txt","// sm.setUUID(UUIDManager.SINGLETON.getNewUUID());","sm.setUUID(UUIDManager.SINGLETON.getNewUUID());","sm.setUUID(UUIDManager.SINGLETON.getNewUUID());",75,75,0
"24","10018.txt","JavaHelpSupport.enableHelp(wizard, HelpManager.getInstance()","JavaHelpSupport.enableHelp(wizard, HelpManager.getHelpManager()","JavaHelpSupport.enableHelp(wizard, HelpManager.getHelpManager()",101,101,0
"25","10019.txt","private static Short [] typecache = new Short [44];","private static Short [] typecache = new Short [43];","private static Short [] typecache = new Short [43];",192,192,0
"26","1002.txt","return Util.bind(""operation.createInitializerProgress""/*nonNLS*/);","return Util.bind(""operation.createInitializerProgress""); //$NON-NLS-1$","return Util.bind(""operation.createInitializerProgress""); //$NON-NLS-1$",81,81,0
"27","10020.txt","List getActivityBindingDefinitions();","List getRoleActivityBindingDefinitions();","List getRoleActivityBindingDefinitions();",20,20,0
"28","10021.txt","i = -1;","i = 0;","i = 0;",648,648,0
"29","10022.txt","int startBracket = label.indexOf(""(&""); //$NON-NLS-1$","int startBracket = label.indexOf(""(&"");","int startBracket = label.indexOf(""(&"");",71,71,0
"30","10023.txt","public static final String[] FILE_TYPES= new String[] {""java""/*nonNLS*/};","public static final String[] FILE_TYPES= new String[] {""java""}; //$NON-NLS-1$","public static final String[] FILE_TYPES= new String[] {""java""}; //$NON-NLS-1$",34,34,0
"31","10024.txt","return CharOperation.concat(Evaluator.this.getClassName(), "".java"".toCharArray()); //$NON-NLS-1$","return CharOperation.concat(Evaluator.this.getClassName(), "".java""/*nonNLS*/.toCharArray());","return CharOperation.concat(Evaluator.this.getClassName(), "".java""/*nonNLS*/.toCharArray());",116,116,0
"32","10025.txt","import org.eclipse.ui.activities.ws.IPluginContribution;","import org.eclipse.ui.activities.support.IPluginContribution;","import org.eclipse.ui.activities.support.IPluginContribution;",23,23,0
"33","10026.txt","IViewReference viewRef = getViewFactory().getView(viewID, secondaryId);","IViewReference viewRef = getViewReference(viewID, secondaryId);","IViewReference viewRef = viewFactory.getView(id, secondaryId);",1504,1261,1
